LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
1	-126.63	49.78	72	60	37	3636	163	3	160	35	119	121	31	2500	350	69	49	1018	251	288	934	DFC
2	-122.73	50.32	51	98	29	7315	230	-97	327	-36	144	144	-42	896	134	37	48	389	123	123	347	DFC
3	-125.75	52.28	26	105	35	6764	187	-112	299	-18	57	112	-61	690	90	34	37	259	109	126	226	DFC
4	-125.33	50	85	90	37	5382	224	-19	243	24	157	157	20	1538	242	49	54	676	162	162	596	DFC
5	-123.97	48.95	65	84	36	5105	201	-29	230	11	132	134	7	1680	284	39	61	789	134	151	728	DFC
6	-127.83	53.5	19	76	29	5994	159	-95	254	-14	76	98	-52	1442	194	68	38	545	212	226	475	DFC
7	-121.5	47.33	47	79	32	5843	190	-55	245	-18	122	125	-23	2249	362	41	58	1036	188	203	962	DFC
8	-124.08	43.08	110	116	50	3972	243	14	229	67	161	163	63	1542	270	9	73	768	60	74	713	DFC
9	-123.88	47.22	94	91	43	4261	213	6	207	46	148	150	42	2886	464	53	60	1305	199	241	1243	DFC
10	-122.51	44.56	82	110	43	5062	237	-17	254	27	148	150	22	2210	359	26	62	1025	146	150	946	DFC
11	-122.96	41.53	92	167	47	6461	301	-51	352	17	178	178	14	650	118	7	70	329	39	39	311	DFC
12	-126.88	50.33	77	58	36	3741	170	10	160	36	125	126	33	1959	276	59	49	802	212	254	720	DFC
13	-125.25	49.33	64	82	39	4498	187	-23	210	17	123	124	13	2217	337	57	55	960	196	222	891	DFC
14	-122.48	49.28	75	86	34	5637	217	-35	252	11	148	148	6	1674	253	49	49	714	180	180	658	DFC
15	-124.37	48.87	77	84	37	4873	210	-12	222	25	141	142	20	2033	333	42	62	939	147	171	875	DFC
16	-126.68	51.63	60	71	33	5102	180	-32	212	27	126	126	-3	1654	226	62	46	671	205	205	583	DFC
17	-127.5	50.45	71	61	36	3866	168	1	167	31	121	123	27	2158	309	58	51	900	212	268	805	DFC
18	-122.17	47.67	108	85	38	4779	235	14	221	54	170	170	50	1023	152	26	50	443	109	109	403	DFC
19	-122.5	50.53	61	100	29	7740	245	-92	337	-32	102	160	-38	657	97	32	45	279	103	105	248	DFC
20	-121.53	50	51	96	31	7277	220	-87	307	-36	144	144	-41	731	107	33	43	306	107	107	281	DFC
21	-124.25	50	59	83	33	5623	201	-46	247	-2	134	134	-7	1296	189	48	48	545	156	156	487	DFC
22	-123.54	40.79	109	151	49	5452	293	-10	303	49	181	182	45	1285	229	5	77	654	38	53	622	DFC
23	-122.78	39.86	97	152	48	5874	288	-28	316	38	176	177	33	1168	207	4	79	588	30	43	572	DFC
24	-120.67	39.38	99	136	44	6115	278	-25	303	30	180	181	30	1660	301	6	78	820	42	51	820	DFC
25	-119.99	38.39	67	141	44	6212	248	-67	315	-4	150	150	-4	976	169	10	72	464	45	52	464	DFC
26	-122.53	42.19	70	147	44	6243	264	-63	327	0	152	152	-5	773	135	10	62	368	55	58	330	DFC
27	-122.32	43.04	56	139	44	6002	246	-66	312	-8	134	136	-15	1239	213	15	67	608	78	79	556	DFC
28	-121.84	45.07	67	106	40	5540	227	-38	265	7	140	141	2	1951	320	24	62	914	133	139	860	DFC
29	-120.89	46.98	44	101	34	6757	213	-82	295	-34	131	132	-39	1057	180	19	62	512	91	91	474	DFC
30	-121.73	46.28	52	99	37	5795	211	-54	265	-11	128	130	-16	2181	363	30	65	1053	149	166	984	DFC
31	-121.75	47.16	59	90	37	5415	203	-40	243	-1	129	131	-5	2240	339	46	54	997	203	216	918	DFC
32	-122.94	43.31	97	132	46	5413	272	-13	285	36	168	168	33	1419	240	14	65	681	82	82	600	DFC
33	-124.15	42.29	94	114	51	3906	227	4	223	54	145	147	50	1821	317	10	74	908	67	85	843	DFC
34	-123.33	43.7	111	125	46	4973	274	7	267	55	176	177	51	1287	219	12	67	624	69	74	573	DFC
35	-124	44.24	95	99	48	3790	213	9	204	55	142	146	51	2277	389	23	68	1101	123	132	1027	DFC
36	-123.8	45.16	93	104	48	3914	218	5	213	50	142	145	46	2617	444	33	67	1259	155	167	1176	DFC
37	-123.01	45.72	95	109	43	4978	244	-5	249	40	160	162	36	1674	280	23	64	799	114	125	742	DFC
38	-121.54	48.29	88	101	38	5742	239	-22	261	21	162	162	17	2054	319	44	58	938	165	165	858	DFC
