LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
1	-115.62	50.54	10	121	32	8186	207	-169	376	91	-41	112	-95	620	74	36	20	184	127	172	165	DFI
2	-122.33	52.04	50	119	31	8818	243	-134	377	158	6	158	-68	373	49	16	34	141	50	141	80	DFI
3	-119.05	49.02	58	124	34	8060	258	-99	357	99	13	161	-46	360	41	22	21	107	74	100	94	DFI
4	-122.13	53.98	31	120	30	8836	223	-169	392	-78	33	139	-88	839	88	37	21	253	147	218	240	DFI
5	-124.38	54.35	23	121	31	9011	218	-170	388	134	-26	134	-98	497	53	21	23	149	83	149	135	DFI
6	-119.72	53.12	17	109	30	8100	202	-154	356	-82	17	118	-88	710	72	39	16	203	132	193	196	DFI
7	-116.83	48.33	59	122	35	7589	262	-82	344	-30	152	158	-36	816	114	29	40	331	104	123	301	DFI
8	-116	45.83	57	148	40	7232	267	-96	363	88	148	153	-32	680	75	29	25	208	108	131	183	DFI
9	-114.5	48.08	42	131	36	7742	251	-111	362	-47	137	144	-55	617	68	35	22	193	121	144	183	DFI
10	-116.25	51.03	-12	111	31	7818	178	-178	356	66	-63	87	-110	674	77	40	18	197	133	195	177	DFI
11	-114.78	49.8	6	125	33	7815	199	-169	368	42	69	105	-92	729	84	47	17	215	155	185	198	DFI
12	-122	52	42	114	31	8444	230	-135	365	147	-3	147	-69	422	54	21	28	148	66	148	101	DFI
13	-123.75	52	20	150	36	8711	223	-184	407	125	-20	125	-99	359	42	14	30	121	48	121	86	DFI
14	-115.55	51.18	4	127	33	8312	203	-179	382	88	-49	109	-102	550	78	28	31	196	101	189	114	DFI
15	-118.03	52.92	22	121	31	8717	213	-168	381	130	-26	130	-94	490	66	23	36	192	73	192	97	DFI
16	-122.1	52.68	43	121	32	8496	233	-140	373	148	-1	148	-70	572	64	28	25	188	90	188	139	DFI
17	-124.71	51.72	11	128	37	7089	189	-150	339	-36	5	100	-81	498	60	23	31	176	82	109	153	DFI
18	-120.4	53.41	27	114	31	8202	214	-150	364	-74	28	128	-81	760	78	41	17	221	139	206	212	DFI
19	-123.6	53.55	22	134	34	8788	219	-173	392	129	-22	129	-97	501	57	21	26	164	76	164	123	DFI
20	-120.83	51.52	34	110	31	7894	215	-130	345	-62	-9	134	-69	561	62	29	20	166	103	162	156	DFI
21	-120.87	50.71	57	108	31	8016	240	-100	340	-40	13	159	-47	338	37	16	23	102	56	100	94	DFI
22	-119.78	51.77	10	99	30	7699	188	-142	330	-83	5	109	-88	742	84	40	18	229	143	190	216	DFI
23	-117.13	49.21	21	100	30	7547	209	-119	328	-64	116	119	-71	831	106	43	29	303	139	161	280	DFI
24	-117.47	51.52	26	109	29	8584	223	-141	364	-80	29	135	-87	943	127	48	32	355	159	204	337	DFI
25	-122.84	54.83	23	110	29	8912	215	-159	374	-84	24	134	-95	700	72	26	21	209	120	194	198	DFI
26	-119.34	50.58	60	109	31	8201	254	-97	351	-38	15	165	-46	499	58	28	20	152	93	135	142	DFI
27	-118.33	44.75	45	158	41	7332	262	-118	380	-40	136	140	-49	508	72	18	38	199	69	84	184	DFI
28	-115.92	45.92	86	138	38	7333	295	-59	354	77	178	183	-5	636	76	28	26	206	103	124	153	DFI
29	-117.25	48.35	60	121	34	7920	267	-88	355	-33	157	163	-40	723	99	29	38	286	98	117	259	DFI
30	-115.83	48.5	50	132	36	7705	262	-100	362	-40	145	150	-46	786	103	32	36	306	116	133	275	DFI
31	-114.58	46.58	28	150	40	7454	245	-128	373	59	-22	126	-64	497	58	30	21	152	107	124	128	DFI
32	-116.58	47.92	64	122	36	7229	262	-72	334	-18	154	160	-25	780	106	27	39	309	102	118	284	DFI
33	-116.17	46.83	62	137	38	7252	269	-84	353	-22	152	157	-29	912	126	29	39	353	112	124	341	DFI
34	-116.17	45.67	66	142	39	7256	273	-84	357	96	157	162	-24	609	71	27	25	194	100	122	155	DFI
35	-113.83	47.25	33	138	37	7725	244	-124	368	-56	128	134	-63	612	70	34	22	194	116	136	185	DFI
