LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MWCT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1	ID2
1	65.03	63.93	-3.5	9.3	1.9	1331.4	22	-26.1	48.1	13.9	-18.3	13.9	-20.6	52.7	7.2	2.1	4.1	20.5	7	20.5	7.8	Pobo	BER
2	90.05	61.76	-4.1	11	2	1494.1	24.3	-30.2	54.5	13	-13.2	15.1	-23.6	59.2	7.2	2.4	3.3	20.7	8.1	19.8	10.3	Pobo	BOR
3	60.35	56.5	1.8	9.2	2.1	1167	23.6	-18.8	42.4	16.4	-11.5	16.4	-13.7	54.7	9.5	1.9	5	23.8	6.5	23.8	7.4	Pobo	EKA
4	92.2	58.45	-1.5	10.9	2.1	1400.8	24.8	-26.3	51.1	16.2	-10.2	16.2	-20.1	46.8	6.5	1.6	3.6	17.3	6	17.3	8	Pobo	ENI
5	65.61	64.7	-4.2	9.1	1.8	1330.8	21.3	-26.8	48.1	13.2	-19.2	13.2	-21.2	51.4	7.2	2.1	4.1	20.2	6.9	20.2	7.7	Pobo	KAZM
6	69.25	61.05	-1.4	8.8	1.8	1330.5	23.2	-24.8	48	15.6	-16.4	15.6	-18.9	54.2	7.9	2	4.3	21.7	6.8	21.7	7.9	Pobo	KM
7	92.76	55.99	0.5	10.4	2.3	1230.9	24.1	-20.8	44.9	16.3	-13	16.3	-15.6	50.1	8.3	1.4	5.2	21.9	4.8	21.9	5.8	Pobo	KRA
8	66.09	62.45	-2.3	9.1	1.9	1317.2	22.5	-25.1	47.6	14.7	-17.1	14.7	-19.5	59.3	8.7	2.1	4	22.9	7.9	22.9	9.1	Pobo	OKT
9	58.5	54.2	0.2	11.1	2.3	1277.9	24	-22.8	46.8	15.8	-15.1	15.8	-16.7	50.7	8.7	2.2	4.3	21.1	7	21.1	7.9	Pobo	PAH
10	58.52	55.34	1.4	10.6	2.3	1239.6	24.5	-21	45.5	16.6	-13.2	16.6	-15	55.8	9.1	2.2	4.2	22.4	7.6	22.4	8.8	Pobo	PAL
11	65.91	65.91	-5.1	8.8	1.8	1325.6	20.5	-27.4	47.9	12.4	-20.2	12.4	-21.7	46.8	6.8	1.9	4.1	18.6	6.3	18.6	7	Pobo	PUT
12	58.42	57.14	0.8	9.8	2.2	1186.2	23.3	-20.4	43.7	15.6	-12.9	15.6	-14.8	62.5	9.4	2.4	3.9	24.1	8.6	24.1	10.1	Pobo	SHA
13	68.38	58.17	-0.4	9.3	1.9	1300	23	-23.9	46.9	15.8	-15.3	15.8	-17.6	48.7	7.4	1.6	4.8	20.6	5.5	20.6	6.5	Pobo	TOB
14	64.37	57.03	1.3	8.9	2	1252.5	23.8	-20.7	44.5	16.7	-13.2	16.7	-15.4	46.4	8.3	1.5	5.1	20.4	5.4	20.4	6.3	Pobo	TUG
15	87.98	65.79	-6.2	9.8	1.8	1490.2	22.1	-31.4	53.5	4.5	-16	13.5	-24.7	54.5	6.8	2.3	3.4	20	8.3	17.7	9.9	Pobo	TYR
16	49.4	58.36	2.6	7	1.7	1113.3	22.7	-16.8	39.5	14.5	-4.3	16.7	-12	63.6	8.8	2.7	3.3	22.5	9.2	22.1	11.2	Pobo	VYA
17	90.22	60.24	-2.4	11	2	1446	25	-27.8	52.8	16.1	-11.1	16.1	-21.4	54	6.9	2.1	3.4	18.8	7.2	18.8	9.2	Pobo	YAR
