LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MWCT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1	ID2
1	-2.816667	37.766667	13.5	11.7	3.7	650	31.6	0.6	31	8.7	22.3	22.3	5.8	49.1	6.2	0.9	4.2	17	4.4	4.9	15	Psyl	Baza
2	27.166667	68.9	-1.2	8.6	2.3	944.9	17.3	-18.8	36.1	11.2	-8.7	11.2	-13.3	40.7	6.6	1.7	4.7	17.1	5.5	17.1	6.1	Psyl	Inari
3	26.016667	56.716667	5.4	7.5	2.4	842.1	21.6	-9.4	31	14.7	-4.9	16	-5.6	67.2	8	3	2.8	23.2	10.6	22.5	12.5	Psyl	Kalsnava
4	23.45	63.85	2.5	8.6	2.4	878.2	20.7	-13.9	34.6	12.5	-4.5	14	-8.7	53.5	7.2	2.7	3.1	19.1	8.5	17.5	10.5	Psyl	Kalvia
5	24.5	67.166667	-1	8.8	2.3	1003.7	18.6	-19.5	38.1	10.6	-8.6	12.3	-13.7	50.2	6.5	2.7	3.1	18.1	8.2	17.4	9.5	Psyl	Kolari
6	50.816667	63.666667	-1	8.7	1.9	1132.8	21.5	-22.1	43.6	13.8	-13.9	13.8	-15.8	59	7	2.8	2.9	20.1	9.3	20.1	10.8	Psyl	Megdurechensk
7	46.1	53.45	4	8.7	2.1	1163.9	25.3	-15.7	41	18.5	-4.1	18.5	-11	56.9	6.6	2.8	2.3	18.3	9.7	18.3	12.1	Psyl	Penzenskaja
8	29.383333	61.75	3.2	7.5	2.2	914.6	21.3	-12.7	34	13.5	-3.9	15.2	-8.5	65.1	8.3	3.3	3	22.4	10.5	21	13.1	Psyl	Punkaharju
9	20.5	50.4	7.8	8.8	2.7	793.7	23.5	-8	31.5	17.3	-1.7	17.3	-3.2	66.6	9.6	2.9	4.2	27.4	9.6	27.4	10.1	Psyl	Radom
10	52.35	65.366667	-1.6	8.1	1.9	1119.3	20.6	-22	42.6	11.6	-9.3	13.2	-16	55.3	6.8	2.7	2.8	18.9	8.8	18.5	10.3	Psyl	Ust-Chilma
11	54	61.5	0.4	8.7	1.9	1156.7	22.9	-20.7	43.6	15.3	-6.7	15.3	-14.8	63.4	7.7	2.8	3	21.3	9.4	21.3	11.9	Psyl	Ust-Kulom
12	44.5	47.75	8.7	9.4	2.3	1132.5	30.6	-10.2	40.8	21.1	0.5	23.1	-5.7	34.4	3.8	2.1	1.9	10.7	6.7	10.3	8.5	Psyl	Volgogradskaja
