LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
1	-60.35	46.75	52	78	24	7948	218	-96	314	-12	119	157	-46	1360	150	86	18	432	278	292	351	jp
2	-63.7966	45.6835	57	98	27	8912	239	-117	356	-27	91	169	-59	1171	121	85	13	353	259	267	329	jp
3	-64.8854	45.9627	53	110	28	9367	250	-133	383	-38	95	172	-70	1166	117	82	12	348	262	271	329	jp
4	-66.6966	47.3793	24	109	26	10485	233	-185	418	156	-55	156	-116	1092	107	69	12	302	225	302	261	jp
5	-68.3467	49.6514	1	109	25	10772	210	-224	434	123	-79	134	-147	991	98	61	15	289	194	280	227	jp
6	-71.25	43.95	56	131	31	9651	260	-154	414	9	-61	176	-75	1268	130	92	10	357	285	317	305	jp
7	-70.27	45.375	34	117	28	10209	236	-177	413	160	-91	160	-104	1007	102	58	16	298	194	298	210	jp
8	-72.5833	46.4166	51	106	24	10951	259	-171	430	173	-29	185	-99	1018	101	63	14	295	204	294	231	jp
9	-70.1531	47.625	36	96	23	10621	238	-169	407	157	-45	168	-108	976	99	63	15	291	196	287	223	jp
10	-71.87	48.72	21	108	23	11698	231	-222	453	149	-64	161	-142	860	113	48	27	300	145	289	176	jp
11	-73.26	49.416	-1	108	23	12191	218	-248	466	132	-91	146	-170	948	120	48	28	334	156	322	189	jp
12	-77.8833	44.65	56	105	26	10076	253	-145	398	78	-68	180	-80	855	83	58	11	236	182	219	195	jp
13	-76.9384	45.5085	55	110	25	10896	267	-164	431	177	-80	189	-93	823	80	53	13	232	166	231	179	jp
14	-75.88	46.74	32	115	25	11200	243	-203	446	155	-49	167	-123	938	101	57	20	297	177	293	198	jp
15	-75.3666	47.9666	13	114	25	11559	227	-227	454	140	-74	153	-146	1044	124	55	27	364	179	346	217	jp
16	-81.45	45.1333	58	86	24	9055	231	-115	346	-27	37	169	-60	865	90	56	16	252	176	212	230	jp
17	-84.39	46.72	37	106	26	9998	233	-160	393	119	-43	158	-98	941	99	55	18	281	174	252	220	jp
18	-80.76	47.65	16	126	26	11602	238	-232	470	143	-69	156	-142	824	95	48	22	259	154	253	158	jp
19	-89.09	44.35	66	119	27	10855	279	-155	434	186	-83	198	-83	814	101	26	40	297	91	290	91	jp
20	-89.753	45.581	44	124	27	11127	262	-186	448	167	-109	179	-109	803	109	22	45	307	84	298	84	jp
21	-85.35	44.577	62	119	30	9636	268	-127	395	136	-56	182	-66	805	105	34	26	265	131	236	141	jp
22	-84.68	44.42	60	120	29	9861	267	-136	403	172	-72	182	-72	762	94	30	30	259	117	246	117	jp
23	-86.13	49.614	-1	128	25	12199	232	-265	497	147	-90	147	-167	811	95	42	27	266	140	266	140	jp
24	-92.5	46.7	38	124	27	11171	259	-196	455	173	-116	173	-116	757	103	18	47	304	74	304	74	jp
25	-94.5	49.7833	23	98	20	13026	253	-228	481	182	-156	182	-156	609	91	21	47	257	76	257	76	jp
26	-95.75	49.5	20	114	23	12869	252	-239	491	174	-158	174	-158	545	88	17	54	243	61	243	61	jp
27	-93.3666	49.85	20	98	20	12690	244	-229	473	173	-155	173	-155	670	98	23	46	277	83	277	83	jp
28	-100.383	52.05	13	112	23	12997	247	-237	484	170	-165	170	-165	472	76	15	51	207	56	207	56	jp
29	-107.75	55.25	-1	117	23	13065	228	-263	491	155	-156	155	-180	445	82	14	57	211	51	211	55	jp
30	-96.15	50.55	22	103	21	13024	250	-234	484	178	-135	178	-157	509	80	17	50	219	63	219	65	jp
31	-110.85	54.6333	6	121	25	11911	225	-244	469	147	-136	147	-157	454	85	15	64	230	56	230	57	jp
32	-111.3833	57.3333	-4	122	23	13610	233	-277	510	156	-78	156	-194	420	78	12	55	199	45	199	60	jp
33	-101.6333	54.7667	-3	98	19	13696	234	-260	494	164	-164	164	-189	480	76	18	51	210	59	210	63	jp
34	-116.9167	56.1167	2	136	27	12004	233	-253	486	142	-66	142	-162	432	68	18	49	196	58	196	71	jp
35	-106.6333	54.3333	-2	121	24	12864	230	-258	488	152	-155	152	-176	459	81	15	55	215	58	215	60	jp
36	-99.3333	49.7	26	128	25	12909	269	-238	507	182	-150	182	-150	455	74	15	57	209	50	209	50	jp
37	-97.8167	55.7667	-33	119	22	14142	224	-303	527	139	-198	139	-226	505	79	18	47	215	62	215	64	jp
38	-107.25	54.0833	4	123	25	12771	235	-252	487	156	-148	156	-169	437	79	14	57	209	55	209	57	jp
39	-105.3333	54.85	-6	118	23	13407	232	-272	504	155	-163	155	-189	493	81	16	51	220	61	220	64	jp
40	-106.0667	53.1167	15	126	26	12547	247	-224	471	166	-133	166	-151	403	68	14	55	187	52	187	53	jp
