LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
1	-118.73	55.06	17	121	27	10939	223	-217	440	146	-42	146	-133	486	74	21	45	212	69	212	90	lp
2	-110.25	49.66	15	131	30	10064	234	-197	431	118	-40	141	-116	413	70	18	44	167	58	161	68	lp
3	-115.41	54.71	-5	125	28	10442	198	-235	433	120	-67	120	-146	576	105	22	62	290	75	290	78	lp
4	-118.83	54.65	17	118	29	9713	210	-191	401	133	-38	133	-115	537	78	25	43	228	82	228	98	lp
5	-119	54.41	13	112	31	8647	195	-165	360	119	-41	119	-100	566	81	27	41	233	90	233	100	lp
6	-113.45	55.63	-9	120	25	11760	206	-258	464	130	-74	130	-170	509	97	20	60	252	64	252	77	lp
7	-117.98	59.7	-41	112	22	13866	206	-297	503	125	-127	125	-226	410	63	20	41	171	64	171	67	lp
8	-114.08	49.91	18	134	34	7984	214	-169	383	98	-22	118	-83	561	82	30	33	201	94	187	103	lp
9	-114.58	51.33	18	131	32	8988	214	-183	397	109	-32	130	-100	503	88	20	50	215	70	210	78	lp
10	-115.66	52.16	-4	134	33	8608	193	-210	403	83	-50	102	-117	582	97	22	51	254	82	251	85	lp
11	-115.5	53.08	16	146	34	9594	221	-205	426	131	-91	131	-115	555	107	16	67	279	62	279	64	lp
12	-116.16	55.25	11	129	28	11076	224	-226	450	142	-53	142	-141	508	89	21	55	244	68	244	78	lp
13	-118.5	56.16	18	101	24	11196	222	-196	418	152	-46	152	-132	441	73	19	48	196	62	196	77	lp
14	-118.91	56.25	12	107	24	11552	221	-214	435	148	-52	148	-145	438	72	18	49	197	60	197	74	lp
15	-119.41	55.08	22	115	27	10253	219	-197	416	143	-36	143	-118	501	73	22	42	210	74	210	93	lp
16	-116.08	52.63	10	139	34	8571	211	-192	403	115	-37	115	-103	577	102	18	60	274	71	274	72	lp
17	-117.53	53.2	7	124	33	8434	195	-176	371	111	-44	111	-104	537	88	21	51	242	76	242	83	lp
18	-116.58	53.73	21	138	34	9343	224	-180	404	134	-34	134	-105	569	110	18	67	292	65	292	71	lp
19	-116.16	53.5	18	141	33	9551	224	-192	416	133	-40	133	-112	565	109	18	67	289	65	289	68	lp
20	-115.08	50.66	-16	118	32	7969	172	-194	366	19	-56	84	-116	651	88	38	25	216	130	198	150	lp
21	-115.41	58.75	-33	106	21	13399	200	-290	490	127	-117	127	-214	441	71	21	45	189	65	189	71	lp
22	-116.06	54.03	12	134	32	9719	215	-199	414	130	-45	130	-118	590	111	19	66	303	69	303	75	lp
23	-115.91	52.96	16	144	34	9224	221	-195	416	128	-88	128	-109	564	106	16	64	279	66	279	66	lp
24	-116.83	53.88	12	131	34	8779	206	-174	380	121	-40	121	-103	606	114	19	64	302	70	302	81	lp
25	-118.8	58.63	-16	118	23	13497	225	-277	502	143	-93	143	-199	406	65	18	47	179	59	179	66	lp
26	-119.86	56.55	-2	109	24	11696	209	-233	442	136	-67	136	-160	455	77	19	50	206	65	206	75	lp
27	-116.53	57.76	-8	120	24	13164	229	-268	497	147	-83	147	-188	420	67	18	47	188	59	188	67	lp
28	-115.83	53.68	19	141	32	10009	227	-203	430	138	-93	138	-118	571	108	18	66	291	67	291	71	lp
29	-110.16	49.66	16	132	30	10146	236	-199	435	120	-40	143	-117	409	69	18	43	165	57	160	67	lp
30	-114.63	49.63	13	127	34	7784	208	-163	371	50	75	112	-85	719	83	46	17	212	154	183	193	lp
31	-114	49.86	18	134	35	8014	214	-168	382	99	-22	119	-83	545	82	28	36	200	87	187	95	lp
32	-119.66	55.71	10	113	26	10814	212	-210	422	138	-52	138	-137	473	75	19	48	211	66	211	82	lp
33	-119.2	56.7	-14	103	23	11546	194	-238	432	124	-80	124	-169	474	80	20	50	214	69	214	77	lp
34	-119.95	56.33	4	112	25	11465	213	-225	438	139	-60	139	-151	460	76	19	49	207	65	207	77	lp
35	-119.4	54.76	17	114	28	9618	208	-188	396	132	-38	132	-114	545	76	25	39	221	84	221	102	lp
36	-119.2	54.55	14	112	30	8999	199	-174	373	123	-40	123	-106	567	78	27	39	229	90	229	104	lp
37	-115.1	52.65	19	148	34	9637	223	-202	425	136	-88	136	-112	530	103	15	66	261	58	261	58	lp
38	-115.51	52.5	10	145	34	9225	211	-211	422	104	-95	122	-116	562	100	17	62	266	70	266	70	lp
39	-115.48	52.07	-2	135	33	8782	194	-211	405	86	-51	106	-119	574	97	22	51	251	82	246	84	lp
40	-115.43	52.17	1	139	33	9009	199	-216	415	92	-50	111	-120	574	101	20	57	262	76	258	78	lp
41	-115.21	51.95	5	137	33	9123	203	-207	410	97	-48	117	-118	553	96	21	53	248	76	241	79	lp
42	-119.54	57.72	-25	108	23	12315	197	-266	463	122	-96	122	-190	462	79	21	49	209	70	209	73	lp
43	-119.31	53.94	11	107	32	7841	185	-143	328	110	-40	110	-88	614	80	31	31	226	108	226	122	lp
44	-118.91	53.91	4	108	32	7831	178	-150	328	103	-48	103	-95	606	83	30	35	233	104	233	117	lp
45	-119.61	53.83	-3	102	31	7649	168	-154	322	94	-54	94	-99	706	82	37	22	233	135	233	163	lp
46	-116.86	54.26	24	133	33	9354	224	-173	397	138	-33	138	-100	579	106	21	61	286	71	286	86	lp
47	-119.3	58.56	-21	115	23	13299	216	-279	495	136	-97	136	-201	423	70	20	47	189	63	189	66	lp
48	-118.4	57.28	-8	113	24	12220	213	-251	464	136	-78	136	-174	443	72	19	49	199	64	199	73	lp
49	-118.25	57.23	-7	114	24	12138	214	-249	463	136	-77	136	-172	445	72	19	48	200	64	200	73	lp
50	-116.18	54.36	13	131	31	9775	215	-197	412	131	-46	131	-117	586	108	21	64	296	72	296	80	lp
51	-115.17	55.01	1	125	27	11073	208	-245	453	131	-63	131	-151	540	98	20	61	271	68	271	75	lp
52	-116.44	54.83	11	128	30	10227	216	-207	423	134	-49	134	-126	554	96	22	58	271	71	271	84	lp
53	-116.02	52.5	4	134	33	8366	203	-198	401	107	-39	107	-104	585	98	20	56	267	78	267	79	lp
54	-113.97	55.52	-11	117	25	11799	202	-265	467	128	-76	128	-173	528	97	21	58	258	69	258	82	lp
55	-114.44	49.73	8	127	34	7777	201	-168	369	44	18	106	-90	679	84	41	20	214	147	187	166	lp
56	-119.2	56.63	-10	104	24	11586	198	-235	433	127	-76	127	-166	467	79	19	51	212	67	212	76	lp
57	-118.96	57.32	-18	106	23	12015	198	-253	451	124	-88	124	-180	467	78	21	50	211	70	211	75	lp
58	-117.39	54.74	19	129	30	10013	223	-194	417	139	-38	139	-116	561	92	25	52	259	77	259	96	lp
59	-115.56	54.4	7	132	30	10379	214	-223	437	132	-52	132	-133	572	105	21	64	291	72	291	76	lp
60	-116.85	52.13	-20	110	31	7906	166	-185	351	79	-70	79	-122	655	81	36	28	233	115	233	144	lp
61	-116.56	52.1	-12	118	32	8033	178	-189	367	88	-63	88	-116	625	83	31	34	237	105	237	123	lp
62	-115.9	54.73	-3	125	29	10079	197	-222	419	118	-65	118	-138	590	106	22	61	295	76	295	81	lp
63	-114.62	51.57	18	132	33	9174	215	-185	400	111	-35	131	-103	507	89	20	52	222	69	218	75	lp
64	-114.62	51.13	21	131	32	8930	218	-180	398	111	-29	132	-96	513	87	23	44	210	77	202	88	lp
65	-117.39	53.05	-9	117	32	8185	175	-180	355	93	-60	93	-116	566	91	23	48	248	84	248	91	lp
66	-114.73	49.57	12	126	34	7742	206	-161	367	48	105	110	-86	745	83	47	17	214	154	182	208	lp
67	-117.03	53.33	22	135	34	8858	220	-173	393	130	-33	130	-96	578	101	20	58	274	72	274	81	lp
68	-116.4	52.95	10	136	34	8731	210	-186	396	117	-40	117	-105	578	104	18	60	278	72	278	73	lp
69	-116.66	53.27	23	139	34	9193	227	-178	405	135	-29	135	-101	564	105	18	63	280	68	280	72	lp
70	-117.37	53.03	-9	117	32	8185	175	-180	355	93	-60	93	-116	566	91	23	48	248	84	248	91	lp
71	-117.15	53.12	11	129	33	8598	205	-176	381	117	-42	117	-103	560	96	20	56	261	75	261	80	lp
72	-114.48	50.15	-2	125	33	7876	189	-183	372	34	-40	97	-100	638	88	36	26	216	122	196	139	lp
73	-117.32	52.93	-14	116	32	8114	170	-182	352	87	-65	87	-119	574	91	23	47	249	86	249	93	lp
74	-116.03	53.05	13	141	34	9050	215	-193	408	122	-41	122	-109	575	108	17	65	285	67	285	68	lp
75	-116.89	53.75	19	135	34	8889	217	-172	389	129	-35	129	-98	587	109	19	64	291	68	291	78	lp
76	-117.39	56.46	3	130	27	11856	230	-242	472	142	-66	142	-158	413	67	17	51	189	56	189	67	lp
77	-117.45	53.67	17	131	34	8600	209	-172	381	123	-34	123	-96	570	98	21	56	268	73	268	85	lp
78	-115.06	52.27	17	144	34	9528	218	-200	418	115	-90	133	-113	531	98	17	63	253	62	252	62	lp
79	-116.77	54.37	24	133	33	9534	225	-178	403	140	-33	140	-103	573	104	21	62	283	70	283	85	lp
80	-117.01	53.58	24	137	34	8951	223	-172	395	134	-31	134	-95	574	103	19	61	278	69	278	79	lp
81	-114.7	50.89	13	129	32	8620	208	-184	392	98	-33	119	-99	567	89	29	35	212	96	199	115	lp
