LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
1	-116.92	48.28	64	126	35	7758	272	-80	352	-27	158	165	-34	766	108	28	40	310	99	116	281	wl
2	-118	48.75	72	128	33	8548	286	-92	378	-32	174	183	-38	515	65	27	28	178	88	109	161	wl
3	-118.83	48.83	39	120	34	7889	238	-114	352	-55	99	140	-61	420	49	25	22	130	84	107	118	wl
4	-115.43	47.35	50	144	38	7522	270	-103	373	-36	144	148	-43	850	121	28	38	332	117	128	311	wl
5	-113.72	46.93	48	145	37	7963	266	-118	384	-46	144	151	-53	472	54	29	23	140	96	116	133	wl
6	-116.32	46.87	58	134	38	7167	263	-85	348	-24	148	152	-31	909	125	29	39	351	113	126	336	wl
7	-116.58	47.58	76	126	36	7350	279	-62	341	-9	168	173	-15	771	105	26	39	304	99	114	283	wl
8	-115.05	47.25	51	146	38	7630	271	-104	375	-37	146	151	-44	607	75	28	25	205	107	121	193	wl
9	-115.45	47.67	73	145	39	7680	292	-78	370	-18	167	173	-24	703	95	27	35	270	103	118	252	wl
10	-113.58	47.22	50	145	37	8046	268	-119	387	-45	147	154	-53	548	67	30	26	183	101	121	174	wl
11	-113.75	47.62	42	132	36	7731	249	-113	362	-47	137	144	-54	668	75	36	23	216	125	147	204	wl
12	-116.2	47.75	60	125	36	7284	263	-79	342	-23	152	156	-30	929	128	29	41	373	117	131	344	wl
13	-119.05	48.47	51	128	35	8061	255	-108	363	-46	149	154	-53	378	46	21	24	123	70	86	112	wl
14	-114.35	46.77	45	144	38	7682	262	-110	372	80	-3	146	-51	425	53	27	23	135	86	114	104	wl
15	-114.13	47.08	42	138	37	7779	256	-114	370	78	139	144	-55	506	57	30	20	148	105	123	139	wl
16	-116.2	48.55	31	119	34	7536	232	-114	346	-55	126	129	-61	898	119	35	37	351	128	146	319	wl
17	-118	48	77	123	34	8191	287	-74	361	-20	178	184	-27	458	66	20	38	179	62	74	158	wl
18	-116.45	48.77	40	116	33	7628	239	-105	344	-48	135	139	-55	821	108	35	35	317	123	140	286	wl
19	-114.63	46.55	40	149	39	7572	260	-115	375	74	-8	140	-54	420	53	26	24	137	85	113	98	wl
20	-113.55	48.17	34	129	35	7693	236	-124	360	-54	128	135	-62	719	78	40	21	225	140	165	212	wl
21	-114.5	48.37	54	138	36	8131	269	-110	379	137	111	159	-51	527	66	31	24	157	107	140	149	wl
22	-114.28	48.68	34	141	36	7951	246	-136	382	-60	129	137	-68	655	72	41	22	207	131	156	196	wl
23	-115.12	48.8	41	135	35	7997	255	-122	377	-54	138	145	-60	642	72	38	23	212	121	145	195	wl
24	-114.83	47.73	37	135	37	7625	249	-115	364	-50	133	137	-57	650	77	32	24	217	117	136	205	wl
25	-119.3	45.08	59	150	43	6527	262	-84	346	-16	142	145	-22	480	60	16	34	177	63	74	157	wl
26	-117.5	46.12	32	133	39	6844	231	-109	340	-46	120	120	-53	720	92	24	35	269	94	110	251	wl
27	-121.32	45.09	91	141	42	6541	287	-41	328	15	177	177	10	578	92	11	56	265	53	53	245	wl
28	-120.27	44.26	42	153	43	6562	247	-101	348	-32	127	129	-38	490	68	19	38	194	68	79	168	wl
29	-116.13	44.67	40	156	39	7916	266	-127	393	-49	138	144	-61	653	89	19	38	250	81	95	240	wl
30	-117.8	49.3	37	99	30	7762	225	-103	328	-52	134	138	-58	762	97	43	27	270	134	158	250	wl
31	-119.12	49.53	43	112	32	7853	236	-106	342	122	-2	144	-57	387	42	24	19	113	75	111	101	wl
32	-119.25	50.6	62	108	30	8205	255	-95	350	-36	16	166	-45	578	70	33	20	183	111	149	171	wl
33	-115.82	49.3	27	117	32	7974	226	-133	359	-67	124	129	-74	734	88	40	25	254	134	154	233	wl
34	-115.95	49.42	26	113	31	8026	223	-133	356	-68	124	130	-75	702	83	40	24	239	133	153	219	wl
35	-115.7	49.43	39	119	32	8363	239	-130	369	-62	138	146	-69	641	74	39	23	213	127	147	194	wl
36	-115.6	50.4	30	124	32	8453	230	-153	383	115	-19	135	-80	580	68	32	20	169	115	160	159	wl
37	-115.48	50.27	5	119	32	8059	199	-171	370	43	-47	107	-97	666	78	42	19	196	144	176	182	wl
38	-115.77	50.55	3	117	31	8016	198	-170	368	82	-47	104	-99	640	74	38	18	185	132	175	173	wl
39	-115.62	50.03	20	118	31	8201	217	-154	371	-76	-29	124	-85	646	71	40	20	195	137	163	186	wl
40	-119.0833333	50.78333333	62	107	30	8178	255	-93	348	-36	63	166	-44	696	87	39	22	230	133	167	216	wl
41	-120.9	50.275	41	105	32	7609	218	-104	322	-50	-2	139	-56	386	44	21	21	124	71	102	114	wl
42	-119.2	49.13333333	32	114	33	7818	225	-119	344	-61	-14	132	-67	373	42	22	21	109	75	104	100	wl
43	-116.85	49.85	62	105	32	7606	248	-79	327	-26	154	161	-34	784	108	45	32	299	142	157	276	wl
44	-117.8336111	49.8325	11	92	29	7422	192	-123	315	-73	-38	108	-79	744	91	48	22	249	156	174	231	wl
